id,brand,model,sku,price
509,Ford,Fiesta,640-21-2872,"€17712,64"
510,Volkswagen,Golf,531-53-4858,"€42408,03"
511,Chevrolet,Silverado,545-20-6968,"€42494,18"
512,Audi,4000s Quattro,597-02-9900,"€43735,92"
513,GMC,Envoy,706-28-7574,"€48708,21"
514,GMC,Rally Wagon 1500,392-32-8772,"€29687,31"
515,Toyota,Land Cruiser,780-22-1107,"€68290,87"
516,Shelby,GT350,568-79-5339,"€31647,75"
517,Lexus,SC,752-03-9157,"€82165,27"
518,Cadillac,DeVille,237-15-7094,"€56749,57"
519,Mazda,B-Series,781-96-0114,"€95722,77"
520,Mercedes-Benz,SL-Class,317-76-5938,"€34214,26"
521,Land Rover,Defender 110,209-53-6364,"€91564,84"
522,Ford,Thunderbird,156-34-6235,"€57834,81"
523,Chevrolet,Malibu,394-92-3016,"€59283,61"
524,Mazda,626,435-65-1871,"€65185,85"
525,Cadillac,Fleetwood,866-35-9666,"€24424,11"
526,Dodge,Magnum,636-93-3600,"€45113,26"
527,Toyota,Camry,115-71-6385,"€32348,35"
528,Lamborghini,Diablo,236-71-2882,"€42625,22"
529,Chevrolet,Silverado 2500,325-03-4288,"€38415,78"
530,Chevrolet,S10,392-36-2388,"€79009,14"
531,Lincoln,Town Car,246-61-4300,"€44418,78"
532,Nissan,Altima,567-45-2053,"€95178,62"
533,Dodge,Intrepid,765-18-6334,"€86453,97"
534,Plymouth,Sundance,546-19-5741,"€63395,45"
535,Chevrolet,Suburban 2500,585-92-4106,"€38755,02"
536,Plymouth,Colt,700-19-2095,"€38096,05"
537,Audi,TT,476-67-4247,"€54478,40"
538,Ford,Lightning,183-61-9048,"€72558,30"
539,Porsche,Cayenne,238-98-4901,"€49407,04"
540,Chevrolet,Blazer,782-19-2392,"€80779,54"
541,Dodge,D350 Club,442-20-8944,"€77848,83"
542,Subaru,Justy,133-45-9761,"€12420,20"
543,Hyundai,Sonata,866-94-0178,"€36356,16"
544,Chevrolet,Silverado 1500,893-71-6839,"€22707,41"
545,Ford,Mustang,280-44-7905,"€75740,82"
546,Mitsubishi,3000GT,341-97-2693,"€73102,40"
547,Audi,80,490-72-9710,"€35593,88"
548,GMC,Suburban 1500,871-58-6309,"€63959,54"
549,Pontiac,G6,642-50-1731,"€52783,15"
550,Mitsubishi,Truck,313-80-9282,"€82648,39"
551,Suzuki,Grand Vitara,862-75-2063,"€53728,69"
552,Kia,Rio,330-90-9871,"€89300,10"
553,Cadillac,Seville,864-02-0750,"€62935,21"
554,Chevrolet,Venture,617-74-5792,"€80746,04"
555,Hyundai,Tucson,200-55-6802,"€73886,66"
556,Ford,Expedition,557-53-8847,"€35396,49"
557,Mazda,B-Series Plus,356-05-9549,"€78978,07"
558,Mitsubishi,Galant,294-60-8770,"€22759,09"
559,Honda,S2000,289-72-3258,"€27901,29"
560,Chevrolet,Corvette,233-11-6412,"€63856,14"
561,Buick,Century,276-11-7766,"€82196,47"
562,Pontiac,Grand Am,441-27-0598,"€68801,18"
563,Cadillac,DTS,701-16-6387,"€13393,69"
564,Mazda,Mazda5,479-32-2555,"€67389,28"
565,Ford,Probe,271-51-1946,"€93651,79"
566,Pontiac,Aztek,521-61-6884,"€75146,05"
567,Aston Martin,Virage,327-58-2621,"€86269,62"
568,Acura,TL,309-76-0038,"€25136,71"
569,Chevrolet,Blazer,318-70-3333,"€15910,36"
570,Porsche,928,765-79-2594,"€96632,60"
571,Dodge,Caravan,828-72-7332,"€92574,14"
572,Saab,9-3,359-82-9905,"€17977,44"
573,Rolls-Royce,Phantom,433-09-1431,"€38159,79"
574,Pontiac,Grand Prix,392-41-8951,"€86916,13"
575,Mercury,Mountaineer,721-94-4531,"€96663,46"
576,Suzuki,SX4,546-25-1255,"€16357,34"
577,Maserati,Quattroporte,678-33-5013,"€40829,02"
578,Audi,A3,456-34-6527,"€38961,73"
579,Suzuki,Grand Vitara,361-50-6409,"€26237,09"
580,Buick,Electra,387-76-8321,"€24998,34"
581,BMW,X3,889-39-8914,"€90363,27"
582,Mercedes-Benz,E-Class,680-91-4701,"€55856,98"
583,Honda,Civic,324-53-0679,"€45681,76"
584,Oldsmobile,Silhouette,222-85-7431,"€89593,21"
585,GMC,Savana,151-71-8981,"€33704,91"
586,BMW,M3,355-40-4272,"€17669,61"
587,Lamborghini,Gallardo,411-74-7429,"€39521,97"
588,Buick,Century,398-52-6410,"€11322,09"
589,Nissan,Titan,343-46-3570,"€50343,50"
590,Pontiac,6000,331-81-8685,"€45508,93"
591,Chevrolet,Metro,159-14-0803,"€22320,01"
592,Jeep,Patriot,815-51-8647,"€67929,45"
593,Saab,9-5,138-40-0886,"€15264,07"
594,Mercury,Tracer,824-54-2084,"€68081,72"
595,Mitsubishi,Galant,453-16-7372,"€71887,08"
596,Suzuki,XL-7,890-85-2923,"€58024,49"
597,Volkswagen,New Beetle,448-17-3450,"€11211,87"
598,Acura,RL,153-13-2939,"€28706,40"
599,Ford,Festiva,569-89-5551,"€17535,16"
600,Chrysler,Aspen,710-34-6367,"€48656,22"
601,Chevrolet,Sportvan G30,118-84-1349,"€91572,69"
602,Eagle,Talon,121-93-4869,"€30934,52"
603,Audi,S4,278-08-0757,"€68211,20"
604,Lexus,GS,716-86-8187,"€39644,53"
605,Infiniti,J,239-22-9613,"€79635,48"
606,Suzuki,Forenza,537-06-3134,"€12271,56"
607,Mercedes-Benz,M-Class,708-47-8233,"€20584,35"
608,Ford,Thunderbird,425-25-7214,"€55702,99"
609,Ford,Expedition EL,316-87-8517,"€97521,80"
610,Pontiac,Bonneville,574-33-6519,"€99835,02"
611,Mitsubishi,Pajero,194-91-8567,"€45840,56"
612,Subaru,Forester,116-26-9619,"€18761,29"
613,Toyota,Sienna,714-64-1024,"€42066,47"
614,Dodge,Journey,657-64-6604,"€93214,43"
615,Cadillac,Seville,207-59-8200,"€10132,38"
616,Mazda,626,490-63-3951,"€27304,37"
617,Chevrolet,Corvette,522-37-0672,"€62213,19"
618,BMW,Z8,167-44-7605,"€59327,72"
619,GMC,Savana 1500,652-91-9969,"€57681,95"
620,Toyota,Tacoma,196-88-9711,"€64047,47"
621,Hyundai,Sonata,716-14-6814,"€19450,92"
622,Chevrolet,Monte Carlo,528-05-5677,"€90669,69"
623,Pontiac,Grand Prix,635-67-1644,"€74538,72"
624,Kia,Rio,885-66-0235,"€20887,29"
625,Mitsubishi,Challenger,231-56-7516,"€68099,22"
626,Ford,Escort,398-99-6120,"€90602,52"
627,Chrysler,200,341-08-5476,"€28547,05"
628,Audi,Q7,268-86-4254,"€82768,60"
629,Cadillac,Escalade EXT,346-18-4447,"€63115,87"
630,Kia,Rio,597-87-4719,"€17147,04"
631,Subaru,Impreza,333-92-1909,"€76437,94"
632,Cadillac,Catera,181-24-5507,"€27364,14"
633,Lexus,RX Hybrid,868-01-0896,"€45928,14"
634,Dodge,Dynasty,303-59-9554,"€52833,89"
635,Mercedes-Benz,R-Class,311-30-9553,"€30025,48"
636,Pontiac,Sunbird,398-88-8255,"€79684,75"
637,Volvo,XC90,317-60-7977,"€83363,80"
638,Ford,Ranger,128-01-2969,"€99019,72"
639,Maserati,GranSport,641-52-8228,"€39461,04"
640,Pontiac,Sunfire,699-74-0556,"€29610,89"
641,Acura,Integra,865-65-9324,"€90411,38"
642,Audi,A8,211-57-6913,"€37092,12"
643,Oldsmobile,LSS,604-25-1174,"€76021,12"
644,Chevrolet,Impala,585-93-3005,"€55067,53"
645,Toyota,Land Cruiser,394-51-3842,"€95475,73"
646,Toyota,TundraMax,461-09-6771,"€75866,30"
647,Dodge,Ram 1500,101-19-2387,"€68109,31"
648,Lexus,SC,654-50-3338,"€60582,06"
649,Scion,xB,211-80-5364,"€15369,60"
650,Suzuki,SX4,413-80-4403,"€66998,51"
651,Ford,E-Series,860-94-6477,"€28401,66"
652,Scion,xD,311-50-5626,"€91308,56"
653,Chevrolet,1500,142-73-8380,"€25886,96"
654,Mitsubishi,Expo LRV,440-44-8748,"€99201,37"
655,BMW,525,579-39-9486,"€97748,31"
656,Nissan,Pathfinder,228-03-8892,"€68774,16"
657,Suzuki,XL-7,631-47-7879,"€43207,39"
658,Lexus,GS,200-11-8644,"€79512,86"
659,Chevrolet,Sportvan G30,192-81-4554,"€97233,53"
660,Jeep,Wrangler,155-60-2467,"€84894,94"
661,Dodge,Intrepid,832-65-6176,"€24795,93"
662,Pontiac,Trans Sport,648-12-1559,"€46538,58"
663,Cadillac,CTS,711-51-1141,"€21722,87"
664,Audi,5000S,715-67-6720,"€42006,72"
665,Lotus,Esprit,659-59-0718,"€99795,62"
666,Ford,Crown Victoria,384-06-9006,"€59444,15"
667,Ford,Bronco,429-92-3005,"€10132,64"
668,Mitsubishi,Eclipse,589-93-9800,"€75348,60"
669,Maybach,62,330-77-0185,"€22306,91"
670,Volkswagen,Jetta,501-17-9856,"€51835,16"
671,Audi,A5,769-49-0429,"€55942,69"
672,Bentley,Continental Super,294-51-3620,"€28322,60"
673,Chevrolet,Caprice,835-58-3923,"€43808,75"
674,Toyota,RAV4,522-10-9093,"€76338,04"
675,Audi,A6,420-64-8430,"€73882,82"
676,Kia,Sportage,292-02-0961,"€66436,07"
677,Pontiac,Grand Prix,889-45-5692,"€24392,02"
678,Chevrolet,Avalanche,579-84-6165,"€62864,34"
679,Nissan,Rogue,124-53-9979,"€81784,04"
680,Oldsmobile,Regency,852-48-1236,"€37135,88"
681,Oldsmobile,Intrigue,706-16-6155,"€89644,98"
682,Lexus,SC,195-20-1310,"€18467,68"
683,Porsche,914,631-69-8814,"€67738,09"
684,Lincoln,Navigator,632-59-4135,"€41731,98"
685,Scion,tC,246-80-6668,"€51370,90"
686,Pontiac,Grand Prix,522-94-5897,"€99765,14"
687,Mazda,MX-5,125-87-3504,"€65551,06"
688,Pontiac,LeMans,634-19-4455,"€95029,67"
689,Chrysler,New Yorker,210-05-3026,"€91301,16"
690,Mitsubishi,Eclipse,198-70-4516,"€98674,47"
691,Jeep,Grand Cherokee,275-61-2497,"€72925,42"
692,Audi,A4,781-27-4121,"€62115,91"
693,Toyota,Camry,888-16-7701,"€42495,79"
694,Kia,Sportage,386-44-5044,"€83953,42"
695,BMW,Z4,482-80-7996,"€92921,45"
696,Ford,Contour,876-89-5069,"€34272,38"
697,Mitsubishi,Lancer Evolution,833-46-7940,"€93902,26"
698,Chevrolet,Tahoe,568-12-6612,"€64084,49"
699,Chevrolet,Lumina,594-20-0502,"€71667,17"
700,BMW,X5,622-86-2564,"€95500,43"
701,Chevrolet,Express 2500,479-64-5550,"€97717,73"
702,Infiniti,G35,675-54-1599,"€42384,37"
703,Nissan,Altima,852-42-4011,"€61203,69"
704,GMC,Safari,299-50-6029,"€75515,02"
705,Pontiac,Grand Prix,126-58-7018,"€25931,52"
706,Mercedes-Benz,GLK-Class,273-19-7589,"€84563,11"
707,Dodge,Dakota,379-85-9106,"€32494,59"
708,Volvo,940,103-49-3865,"€41441,88"
709,Chevrolet,Cavalier,815-75-1644,"€69703,78"
710,Mercedes-Benz,S-Class,484-56-9667,"€38876,61"
711,Dodge,Stratus,181-88-9404,"€21437,25"
712,Acura,RDX,327-89-7241,"€38772,66"
713,Audi,Q5,257-59-7418,"€20248,36"
714,Suzuki,XL7,144-73-2734,"€79289,27"
715,Buick,Electra,231-42-3027,"€72825,39"
716,Mazda,B-Series Plus,539-02-6915,"€65356,38"
717,Hummer,H1,249-23-7617,"€68387,65"
718,Nissan,Cube,679-36-9092,"€23281,92"
719,Mitsubishi,Mirage,267-33-9881,"€69815,99"
720,Saturn,S-Series,681-49-4492,"€95106,31"
721,Chevrolet,Prizm,636-88-7481,"€73845,49"
722,Lincoln,Continental,456-35-7689,"€86358,46"
723,Dodge,Durango,742-85-5416,"€18833,34"
724,Ford,Mustang,285-50-9907,"€11371,55"
725,Ford,Thunderbird,261-85-4046,"€80450,25"
726,Chevrolet,Sportvan G30,385-11-9745,"€17671,03"
727,Saab,900,336-37-8686,"€91205,13"
728,Ferrari,FF,898-84-9975,"€48573,30"
729,Ford,F250,123-22-5881,"€42859,00"
730,Toyota,Echo,569-15-6226,"€31157,26"
731,Mercedes-Benz,SL-Class,186-61-2825,"€46604,78"
732,Lexus,CT,255-92-0702,"€98934,96"
733,Infiniti,G,568-70-5084,"€52584,48"
734,Dodge,Grand Caravan,831-39-1749,"€31312,32"
735,Mitsubishi,Challenger,729-99-6068,"€70828,76"
736,Mitsubishi,Mighty Max,359-15-4130,"€94469,64"
737,Volkswagen,Golf,266-75-8587,"€78142,19"
738,Cadillac,Escalade,743-84-0561,"€59070,81"
739,Lincoln,LS,312-85-7984,"€13098,83"
740,Hyundai,Sonata,277-79-0701,"€43639,09"
741,Mercury,Grand Marquis,732-61-3709,"€37563,99"
742,Cadillac,Eldorado,324-32-6320,"€60933,24"
743,Dodge,D350,369-63-3805,"€93903,38"
744,Mercedes-Benz,S-Class,535-94-5337,"€90230,15"
745,GMC,Sierra,773-84-0263,"€23930,18"
746,Dodge,Dakota Club,272-43-7158,"€90119,44"
747,Toyota,Cressida,208-61-0254,"€84222,91"
748,Mazda,MPV,692-72-0166,"€52900,16"
749,Dodge,D150 Club,162-72-3973,"€47076,84"
750,Ford,Ranger,486-48-1448,"€32643,27"
751,Acura,SLX,164-91-5667,"€67423,88"
752,Ford,Expedition,240-91-3998,"€87416,54"
753,Ford,Club Wagon,290-69-5433,"€45981,61"
754,Chevrolet,Metro,149-21-1054,"€73342,37"
755,Kia,Sportage,686-96-2483,"€17827,88"
756,Volvo,V40,106-97-1416,"€43303,93"
757,Ford,F250,501-65-0743,"€78418,83"
758,Audi,A8,813-30-9361,"€56034,09"
759,Toyota,Supra,878-85-3513,"€52070,73"
760,Infiniti,Q,464-71-6539,"€57912,70"
761,Chevrolet,Silverado Hybrid,855-73-3274,"€33470,82"
762,Eagle,Summit,314-15-4208,"€45405,11"
763,Mercury,Cougar,205-54-7464,"€58863,59"
764,Bentley,Continental GT,667-59-8718,"€19694,56"
765,Volvo,S80,672-57-9990,"€71955,61"
766,Mazda,B-Series,405-83-5876,"€68491,60"
767,Lexus,RX,284-62-8103,"€29069,11"
768,Porsche,944,801-05-0338,"€31964,25"
769,Lincoln,Town Car,157-36-3741,"€69178,84"
770,Pontiac,Bonneville,794-85-3867,"€14686,55"
771,GMC,Sierra 3500,874-97-6963,"€62843,73"
772,Acura,Integra,790-98-7802,"€19190,65"
773,Honda,Civic,413-89-6521,"€64223,30"
774,GMC,Sierra 1500,557-89-5959,"€47931,38"
775,Volkswagen,Eurovan,207-88-8554,"€47979,10"
776,Toyota,Land Cruiser,581-21-3182,"€55345,47"
777,Mazda,Tribute,870-05-6810,"€18370,49"
778,Chrysler,LHS,420-94-4423,"€82812,51"
779,Plymouth,Horizon,171-10-9831,"€71549,79"
780,Chevrolet,Aveo,500-52-4571,"€94306,84"
781,Ford,F-Series Super Duty,480-17-1713,"€25834,02"
782,Isuzu,Space,840-39-3129,"€26737,01"
783,Mitsubishi,Outlander,681-93-0874,"€48915,94"
784,Pontiac,Bonneville,831-52-7919,"€19611,76"
785,Buick,Riviera,310-40-5001,"€13482,78"
786,BMW,Z4 M,580-81-3201,"€67779,28"
787,Infiniti,I,321-73-4959,"€58713,82"
788,BMW,3 Series,278-40-7196,"€16214,41"
789,Ford,Expedition EL,697-05-6865,"€52072,97"
790,Suzuki,Verona,438-68-9457,"€46946,66"
791,Chevrolet,Cruze,647-14-9880,"€29210,43"
792,Mazda,RX-7,720-98-7673,"€20595,48"
793,Volvo,C70,377-14-4774,"€97927,05"
794,Chevrolet,Camaro,497-64-3690,"€13207,07"
795,Infiniti,QX,642-61-3863,"€52454,20"
796,Mercedes-Benz,S-Class,355-01-1925,"€74113,70"
797,Pontiac,Bonneville,664-10-8416,"€49266,43"
798,Pontiac,Sunfire,525-33-9619,"€94749,41"
799,Dodge,Durango,355-11-7425,"€25556,28"
800,BMW,745,606-09-8390,"€54088,99"
801,Aston Martin,V8 Vantage,169-86-2636,"€98813,75"
802,Pontiac,Bonneville,153-30-8139,"€20420,32"
803,Lincoln,MKZ,286-94-3085,"€43088,98"
804,Daewoo,Lanos,794-89-6035,"€90744,72"
805,Chevrolet,S10 Blazer,379-48-0970,"€20714,98"
806,Audi,S4,762-72-4285,"€78553,97"
807,Volkswagen,GTI,706-04-6010,"€35961,25"
808,Infiniti,QX,251-75-4178,"€15416,01"
809,Chevrolet,Avalanche 2500,477-53-1390,"€50019,66"
810,Lexus,LX,617-56-7930,"€69576,27"
811,Ford,Fusion,291-08-2808,"€24776,46"
812,Nissan,Sentra,885-06-0827,"€47561,87"
813,Infiniti,I,682-83-5888,"€52958,05"
814,Toyota,Sienna,145-58-4473,"€72585,67"
815,Volvo,XC70,891-68-7570,"€69205,33"
816,Dodge,Ram 1500,696-60-7935,"€25835,77"
817,Volvo,960,245-39-5013,"€56614,06"
818,Daewoo,Leganza,324-35-5797,"€60897,41"
819,Mercedes-Benz,M-Class,287-09-0944,"€75706,76"
820,Chevrolet,TrailBlazer,893-11-2218,"€47271,64"
821,GMC,Sonoma Club Coupe,665-56-2484,"€40338,30"
822,GMC,Yukon,727-77-6887,"€85553,76"
823,Ford,F350,450-64-7832,"€89992,74"
824,Ford,Windstar,212-25-4501,"€24048,72"
825,Infiniti,QX,617-94-2981,"€64448,23"
826,Honda,CR-V,590-06-2407,"€67991,57"
827,Chevrolet,Silverado 3500,217-29-0284,"€31277,86"
828,Ford,Taurus,556-20-7078,"€59321,83"
829,Oldsmobile,Achieva,234-93-8812,"€69461,55"
830,Dodge,Avenger,673-55-7287,"€59534,47"
831,Ford,Windstar,151-31-5677,"€93619,08"
832,Pontiac,Firebird,612-07-5882,"€31773,13"
833,Audi,A4,882-41-7925,"€64958,30"
834,Jaguar,XF,803-27-8266,"€73057,05"
835,GMC,Yukon,424-12-0999,"€91909,05"
836,Toyota,MR2,651-52-1029,"€62750,34"
837,GMC,Savana 3500,890-06-0637,"€61817,70"
838,Ford,Focus,660-55-1206,"€70505,87"
839,Nissan,Murano,355-86-8355,"€35426,15"
840,Nissan,JUKE,794-12-6998,"€74744,94"
841,Plymouth,Laser,375-20-9522,"€42118,79"
842,Kia,Sportage,161-23-6520,"€45814,51"
843,Ford,Thunderbird,794-37-5325,"€91009,42"
844,Ford,Focus,301-04-9546,"€15659,92"
845,Pontiac,GTO,574-32-9254,"€77491,72"
846,Ford,Tempo,537-83-3593,"€75437,08"
847,Ford,F-Series,231-29-8597,"€73221,32"
848,Mitsubishi,Pajero,760-06-9260,"€45654,53"
849,Lotus,Elise,778-81-1770,"€73708,28"
850,Chrysler,PT Cruiser,760-86-8190,"€58367,53"
851,Pontiac,Firebird Formula,754-37-9982,"€44108,91"
852,Saab,900,805-45-2542,"€73820,86"
853,Chevrolet,Silverado,306-41-9084,"€76147,62"
854,GMC,Sierra 1500,227-14-3239,"€30907,42"
855,Hyundai,Tucson,387-90-4475,"€18094,19"
856,Chevrolet,Aveo,378-03-4280,"€63812,45"
857,Pontiac,Grand Prix,295-71-3190,"€52168,43"
858,Acura,TL,622-85-4076,"€84903,85"
859,Mercury,Villager,680-01-5671,"€64117,29"
860,Dodge,Caliber,295-07-2152,"€98870,61"
861,Volkswagen,Golf,488-42-0379,"€97165,23"
862,Chevrolet,Lumina,789-15-6216,"€53205,39"
863,Pontiac,Grand Prix,139-97-5279,"€61503,73"
864,Honda,Fit,623-66-4252,"€22579,20"
865,Jaguar,XK,331-67-3045,"€58070,39"
866,Toyota,Paseo,789-85-5994,"€70423,66"
867,Chevrolet,APV,841-21-1499,"€69011,28"
868,Acura,TL,607-97-8969,"€41290,54"
869,Cadillac,Eldorado,754-92-3843,"€33928,48"
870,Mazda,B-Series,135-75-4704,"€14110,71"
871,Cadillac,CTS,540-87-9024,"€15327,43"
872,Dodge,Stealth,218-72-9941,"€34285,20"
873,Mercedes-Benz,S-Class,217-33-9148,"€14339,94"
874,Toyota,TundraMax,207-70-3319,"€39202,89"
875,Chevrolet,Express,205-62-8650,"€82944,76"
876,BMW,1 Series,450-14-0794,"€33346,46"
877,Volvo,V70,347-95-5231,"€26333,13"
878,Eagle,Vision,895-13-6850,"€60266,34"
879,Suzuki,SX4,468-44-7612,"€82577,73"
880,Dodge,Stealth,296-09-9136,"€73559,00"
881,BMW,330,163-58-5685,"€21239,56"
882,GMC,Suburban 1500,291-26-6285,"€52925,13"
883,Jaguar,XK,329-69-9727,"€23573,05"
884,Plymouth,Voyager,855-02-7598,"€70922,97"
885,Suzuki,Grand Vitara,117-68-7723,"€71537,67"
886,Ford,Econoline E150,628-98-6453,"€22736,53"
887,Nissan,Rogue,134-20-8989,"€49649,33"
888,Toyota,Camry,220-37-8508,"€22897,64"
889,Lincoln,Town Car,121-75-3567,"€67546,03"
890,Hyundai,Sonata,409-64-6543,"€65585,80"
891,Suzuki,Sidekick,691-45-0334,"€81324,74"
892,GMC,Sierra 1500,604-52-5781,"€18376,29"
893,Mercedes-Benz,S-Class,263-38-6685,"€41094,41"
894,Hyundai,Scoupe,403-57-2630,"€86040,57"
895,Jeep,Cherokee,701-02-6531,"€49298,09"
896,Kia,Sedona,839-11-7133,"€35399,50"
897,Volkswagen,Routan,243-97-5697,"€83840,61"
898,Land Rover,Range Rover,858-18-3911,"€14437,73"
899,Nissan,Xterra,272-25-5309,"€76903,89"
900,Saab,900,148-88-2527,"€18873,81"
901,Audi,A8,343-48-9106,"€68202,13"
902,Acura,NSX,660-19-8237,"€55735,85"
903,Chevrolet,Express 3500,699-25-9246,"€49093,06"
904,Dodge,Dakota,370-68-8393,"€31579,03"
905,Volkswagen,Passat,340-26-6453,"€91011,61"
906,Pontiac,GTO,758-33-1535,"€43686,26"
907,Audi,A8,141-79-2457,"€77787,00"
908,Mercury,Cougar,701-25-7604,"€52986,93"
909,Ford,E-350 Super Duty Van,112-67-5305,"€16106,75"
910,Volvo,S60,104-33-7764,"€50244,57"
911,Chevrolet,Blazer,221-27-3101,"€31849,81"
912,Volvo,S80,318-17-4404,"€68690,64"
913,Mercury,Topaz,335-19-9515,"€39495,97"
914,Volvo,V40,191-88-8153,"€12871,90"
915,Chevrolet,S10,436-89-2125,"€14182,61"
916,Chevrolet,HHR,748-15-9797,"€41184,09"
917,Nissan,NV1500,265-57-7991,"€48326,74"
918,Mitsubishi,Galant,811-54-4031,"€14671,29"
919,Mazda,Miata MX-5,408-69-5957,"€46610,89"
920,Buick,Regal,767-51-0850,"€87297,75"
921,Jaguar,XK Series,235-39-4861,"€34976,45"
922,Kia,Rio,381-50-9294,"€45298,44"
923,GMC,Savana 3500,464-74-9395,"€98234,36"
924,Eagle,Talon,315-53-8520,"€29516,78"
925,Acura,TL,604-12-0554,"€95972,99"
926,Ford,Expedition,691-46-5112,"€43940,79"
927,Pontiac,Bonneville,281-19-5427,"€37558,57"
928,Volkswagen,Jetta,109-84-4946,"€61358,56"
929,Volkswagen,Jetta,691-68-2548,"€29826,28"
930,Volkswagen,GTI,347-82-3719,"€23477,57"
931,Ford,F-Series,476-66-5094,"€90189,92"
932,Infiniti,FX,785-96-5956,"€11499,79"
933,Mazda,929,499-84-1690,"€34868,92"
934,Buick,Century,398-72-6044,"€63755,79"
935,GMC,3500 Club Coupe,188-83-9383,"€40843,29"
936,Acura,RL,219-35-3045,"€16168,32"
937,Chevrolet,Venture,887-03-5610,"€77809,50"
938,Toyota,Yaris,210-99-6789,"€69621,57"
939,Isuzu,Hombre,266-32-3177,"€55937,93"
940,Maserati,Karif,354-14-3142,"€60784,52"
941,Lincoln,MKX,403-18-2545,"€46788,58"
942,Cadillac,XLR,391-59-0155,"€58100,07"
943,Dodge,Viper,108-21-0988,"€90873,38"
944,Chevrolet,SSR,416-72-5639,"€37884,94"
945,Chevrolet,Suburban 1500,320-58-5610,"€76670,40"
946,Kia,Mentor,895-34-7076,"€76215,46"
947,BMW,X3,851-45-0776,"€43727,99"
948,Pontiac,Sunfire,265-70-1501,"€41960,17"
949,Saab,900,897-48-2738,"€41375,71"
950,Suzuki,XL-7,611-97-8314,"€29539,38"
951,Honda,Element,570-15-3386,"€94504,51"
952,Toyota,Camry Solara,623-16-1524,"€89169,81"
953,GMC,Savana 2500,528-57-9969,"€30873,48"
954,Cadillac,Seville,348-76-0104,"€23186,58"
955,Plymouth,Grand Voyager,213-85-6735,"€69663,60"
956,Ford,E-Series,167-69-1056,"€91242,76"
957,Jaguar,XJ,702-42-6863,"€59260,33"
958,Volkswagen,Passat,817-42-2108,"€22781,66"
959,GMC,Safari,674-58-0715,"€73730,48"
960,Chevrolet,Express,679-60-3504,"€47133,20"
961,Plymouth,Neon,686-56-7637,"€41684,29"
962,Dodge,Ram Van 3500,406-31-8601,"€22525,37"
963,Infiniti,G35,438-39-6461,"€61023,75"
964,Volvo,C30,241-92-8111,"€73523,22"
965,Ford,F-Series,135-23-9327,"€16686,68"
966,Mazda,Mazdaspeed 3,319-06-7998,"€85228,05"
967,Cadillac,Escalade,185-39-4868,"€47435,41"
968,Honda,Accord,864-64-5116,"€66432,08"
969,Audi,RS 4,703-72-6471,"€58881,65"
970,Subaru,Outback,613-94-3943,"€30293,15"
971,Subaru,Impreza,645-23-4994,"€94913,68"
972,Ford,Econoline E350,798-86-1599,"€75708,40"
973,Suzuki,XL-7,772-81-6170,"€45266,87"
974,Saab,9-2X,745-50-3920,"€18594,91"
975,Mitsubishi,Chariot,270-29-5538,"€51805,73"
976,GMC,Jimmy,450-05-0602,"€31952,98"
977,Lexus,LS,323-21-6591,"€57974,36"
978,Ford,Mustang,621-96-9734,"€43408,41"
979,Mazda,B-Series Plus,732-17-9445,"€32866,45"
980,BMW,X5,144-55-5775,"€46037,41"
981,Pontiac,Sunbird,126-49-7535,"€66680,15"
982,BMW,550,358-31-9214,"€47936,51"
983,Subaru,Legacy,799-80-6963,"€10421,91"
984,Dodge,Shadow,618-64-3815,"€89628,64"
985,Buick,Riviera,187-58-8647,"€30459,29"
986,Volvo,C30,839-93-8299,"€26271,43"
987,Jeep,Grand Cherokee,669-11-8381,"€61665,09"
988,Mitsubishi,Outlander,622-33-9609,"€48685,51"
989,Kia,Sportage,193-44-9481,"€98680,75"
990,Volvo,C70,146-14-1096,"€47376,33"
991,Ford,Galaxie,468-07-9229,"€27543,46"
992,Ferrari,FF,538-57-2957,"€95789,39"
993,Buick,Skylark,301-16-6595,"€89699,11"
994,Jaguar,X-Type,742-31-2883,"€71531,39"
995,Dodge,Viper,510-19-2334,"€45753,49"
996,Chrysler,Imperial,384-89-0644,"€61627,88"
997,Mercedes-Benz,GLK-Class,485-04-2443,"€65106,52"
998,MINI,Clubman,466-42-3347,"€41954,78"
999,Hummer,H1,260-02-8841,"€52917,38"
1000,Pontiac,Grand Am,824-77-8624,"€99171,39"
